100,Rice,20,1,74
101,Rice,20,2,75
102,Rice,20,3,78
103,Vegetable,20,2,69
105,Vegetable,20,1,73
106,Vegetable,20,1,76
107,Vegetable,20,1,77
108,Vegetable,20,1,79
109,Seaweed,20,3,69
112,Seaweed,20,1,77
116,Octopus,20,2,73
117,Salmon Meat,20,2,75
118,Egg,20,3,74
119,Shrimp,20,3,76
120,Crab,20,2,77
121,Eel Meat,20,2,78
122,Miso Powder,20,1,79
123,Soda,20,1,80
124,Water Bottle,20,1,81
125,Hojicha Powder,20,1,82
126,Matcha Powder,20,1,83
104,Vegetable,20,1,72
110,Seaweed,20,1,70
111,Seaweed,20,1,71
113,Tuna Meat,20,2,70
114,Flying Fish Egg,20,2,71
115,Sea Urchin,20,1,72
127,chocotaco,20,1,75
